"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Cód.","Município","Ano x Produto das lavouras temporárias e permanentes"
"Cód.","Município","2010"
"Cód.","Município","Total"
"2103802","Dom Pedro (MA)","1828"
"2103901","Duque Bacelar (MA)","2143"
"2104008","Esperantinópolis (MA)","3269"
"2104057","Estreito (MA)","4168"
"2104073","Feira Nova do Maranhão (MA)","3467"
"2104081","Fernando Falcão (MA)","4022"
"2104099","Formosa da Serra Negra (MA)","8041"
"2104107","Fortaleza dos Nogueiras (MA)","24950"
"2104206","Fortuna (MA)","10673"
"2104305","Godofredo Viana (MA)","1386"
"2104404","Gonçalves Dias (MA)","6097"
"2104503","Governador Archer (MA)","3412"
"2104552","Governador Edison Lobão (MA)","571"
"2104602","Governador Eugênio Barros (MA)","6246"
"2104628","Governador Luiz Rocha (MA)","3865"
"2104651","Governador Newton Bello (MA)","6269"
"2104677","Governador Nunes Freire (MA)","3710"
"2104701","Graça Aranha (MA)","2596"
"2104800","Grajaú (MA)","24311"
"2104909","Guimarães (MA)","1459"
"2105005","Humberto de Campos (MA)","3229"
"2105104","Icatu (MA)","2382"
"2105153","Igarapé do Meio (MA)","1781"
"2105203","Igarapé Grande (MA)","3002"
"2105302","Imperatriz (MA)","788"
"2105351","Itaipava do Grajaú (MA)","5770"
"2105401","Itapecuru Mirim (MA)","14714"
"2105427","Itinga do Maranhão (MA)","7441"
"2105450","Jatobá (MA)","6111"
"2105476","Jenipapo dos Vieiras (MA)","6166"
"2105500","João Lisboa (MA)","609"
"2105609","Joselândia (MA)","7272"
"2105658","Junco do Maranhão (MA)","1241"
"2105708","Lago da Pedra (MA)","10422"
"2105807","Lago do Junco (MA)","3518"
"2105906","Lago Verde (MA)","3279"
"2105922","Lagoa do Mato (MA)","5037"
"2105948","Lago dos Rodrigues (MA)","4294"
"2105963","Lagoa Grande do Maranhão (MA)","9054"
"2105989","Lajeado Novo (MA)","416"
"2106003","Lima Campos (MA)","1950"
"2106102","Loreto (MA)","28275"
"2106201","Luís Domingues (MA)","856"
"2106300","Magalhães de Almeida (MA)","9114"
"2106326","Maracaçumé (MA)","3202"
"2106359","Marajá do Sena (MA)","8783"
"2106375","Maranhãozinho (MA)","5715"
"2106409","Mata Roma (MA)","15226"
"2106508","Matinha (MA)","3731"
"2106607","Matões (MA)","7076"
"2106631","Matões do Norte (MA)","5124"
"2106672","Milagres do Maranhão (MA)","11199"
"2106706","Mirador (MA)","12168"
"2106755","Miranda do Norte (MA)","1323"
"2106805","Mirinzal (MA)","1685"
"2106904","Monção (MA)","7833"
"2107001","Montes Altos (MA)","717"
"2107100","Morros (MA)","1986"
"2107209","Nina Rodrigues (MA)","3744"
"2107258","Nova Colinas (MA)","6015"
"2107308","Nova Iorque (MA)","1702"
"2107357","Nova Olinda do Maranhão (MA)","6520"
"2107407","Olho d'Água das Cunhãs (MA)","2869"
"2107456","Olinda Nova do Maranhão (MA)","3968"
"2107506","Paço do Lumiar (MA)","122"
"2107605","Palmeirândia (MA)","4895"
"2107704","Paraibano (MA)","5155"
"2107803","Parnarama (MA)","10261"
"2107902","Passagem Franca (MA)","5640"
"2108009","Pastos Bons (MA)","8302"
"2108058","Paulino Neves (MA)","6149"
"2108108","Paulo Ramos (MA)","7932"
"2108207","Pedreiras (MA)","2537"
"2108256","Pedro do Rosário (MA)","4067"
"2108306","Penalva (MA)","7653"
"2108405","Peri Mirim (MA)","1711"
"2108454","Peritoró (MA)","4072"
"2108504","Pindaré-Mirim (MA)","1377"
"2108603","Pinheiro (MA)","6961"
"2108702","Pio XII (MA)","2562"
"2108801","Pirapemas (MA)","9923"
"2108900","Poção de Pedras (MA)","9369"
"2109007","Porto Franco (MA)","2369"
"2109056","Porto Rico do Maranhão (MA)","1070"
"2109106","Presidente Dutra (MA)","6531"
"2109205","Presidente Juscelino (MA)","1455"
"2109239","Presidente Médici (MA)","1730"
"2109270","Presidente Sarney (MA)","4938"
"2109304","Presidente Vargas (MA)","3530"
"2109403","Primeira Cruz (MA)","1369"
"2109452","Raposa (MA)","55"
"2109502","Riachão (MA)","37252"
"2109551","Ribamar Fiquene (MA)","3508"
"2109601","Rosário (MA)","4334"
"2109700","Sambaíba (MA)","42970"
"2109759","Santa Filomena do Maranhão (MA)","4978"
"2109809","Santa Helena (MA)","2990"
"2109908","Santa Inês (MA)","2353"
"2110005","Santa Luzia (MA)","44908"
"2110039","Santa Luzia do Paruá (MA)","5578"
"2110104","Santa Quitéria do Maranhão (MA)","10165"
"2110203","Santa Rita (MA)","2966"
"2110237","Santana do Maranhão (MA)","5305"
"2110278","Santo Amaro do Maranhão (MA)","1807"
