"CD_GEOCMU","areamunic","precclimme","prec2010me","temp2010me","tempclimme"
3501707,14944.8474069,1453.1489208386,1200.8721368934,22.4566286597,22.1677136305
3501806,30245.7460847,1368.1917025661,1117.1116072993,24.8560997382,24.532768373
3501905,55222.603036,1466.52362078,1320.9617874511,21.6765088158,20.4152002022
3502002,39841.7769839,1493.0497358108,1227.5057985363,21.9677159484,21.6386034327
3502101,112171.717309,1258.2676300413,1218.0525281414,24.9320166152,24.462519858
3502200,123535.370355,1377.1167399089,1353.7174886068,21.0114796956,21.1295426687
3502309,89254.1926162,1362.0042724473,1253.051494569,21.9929663235,21.623925018
3502408,37187.3768082,1361.3773910878,1283.0120804659,23.5750108519,23.6126241225
3502507,15287.8806564,1402.4597777232,1412.9218739227,19.5934069832,19.0706789803
3502606,21025.28283,1316.9219496728,1178.1488190606,24.8794049073,24.6056609529
3502705,116204.725346,1601.862487793,1863.142578125,20.0218229294,20.1212263107
3502754,18026.5255651,1451.890509435,1352.8774604775,21.7510768252,21.1832512439
3502804,137106.42491,1305.3348999023,1200.2887573242,24.5698566437,24.3224372864
3502903,31194.7708686,1301.2871834488,1356.5082035739,21.7165591527,21.4140822642
3503000,25001.4965093,1540.5108649529,1373.5102086796,23.4133570882,22.6943445511
3503109,34099.1720685,1463.6822214848,1306.7984482286,21.3250608904,21.2694009032
3503158,20036.3959837,1504.210796442,1606.4126045055,22.5203533729,22.0836638969
3503208,122063.817942,1447.0495714422,1236.7736592019,22.3337500463,22.0155135239
3503307,78992.8008381,1445.8299202387,1301.9028354681,22.2173390045,21.4195391497
3503356,31205.6185387,1344.4542439754,1260.8811321403,23.7447215203,23.5594232734
3503406,60600.8347003,1349.2719374216,1275.7553731333,23.0012080389,22.5723472021
3503505,39059.7811124,1582.9103498969,1687.5342776616,21.788314996,21.3590313113
3503604,10249.1841471,1420.6129150391,1382.6220703125,22.3445987701,21.7859477997
3503703,16058.6922512,1374.4046723762,1062.6077591751,24.028150849,23.655369544
3503802,21772.2076894,1421.1086653433,1082.1647267108,22.249112655,21.1193724965
3503901,12015.6938678,1493.6761291043,1587.2608636301,21.2766861994,20.8031686109
3503950,8136.39528253,1316.8196077598,1097.4055077174,24.8921597986,24.6729061361
3504008,54071.8513732,1416.3989559283,1166.4348201993,22.4495317619,22.6322255482
3504107,59174.2803945,1475.3183216533,1480.3970653513,20.8087299993,20.5693462228
3504206,51093.4509901,1324.4430970339,1183.6908468112,24.7594294052,24.5205624402
3504305,64218.8540795,1360.4749638119,1136.6192358292,22.9123580059,22.6467070798
3504404,40161.5139191,1304.4469814119,1132.4952939446,24.4207408713,23.7912545915
